product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
BISSELL SpinWave + VAC All In One Spin Mop and Vacuum,bissell-spinwave-vac-all-in-one-spin-mop-1732319863251375047.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e7e852e1bea44c11851e7a16bea44112.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e7e852e1bea44c11851e7a16bea44112.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e7e852e1bea44c11851e7a16bea44112~tplv-fhlh96nyum-crop-webp:1291:1148.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",176.06,176760.0,999.9,18.0,31.69,81.0,9,,https://shop.tiktok.com/view/product/1732319863251375047,"Run, do not walk, to grab the BISSELL SpinWave + VAC All In One Spin Mop and V. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
SKIMS POPLIN APPAREL MINI SMOCKED DRESS,skims-poplin-apparel-mini-smocked-dress-1732480837088416613.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ce61e146097f47089d37b871f950d6ec.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ce61e146097f47089d37b871f950d6ec.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ce61e146097f47089d37b871f950d6ec~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",170.0,15640.0,32.9,15.0,25.5,35.0,10,,https://shop.tiktok.com/view/product/1732480837088416613,The SKIMS POPLIN APPAREL MINI SMOCKED DRESS everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Naturalizer Womens Carla-Stud Ballet Flat - Medium & Wide Width,naturalizer-womens-carla-stud-ballet-fla-1732046289706455516.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f8fe86d4e35d46108b5f29426d4c406a.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f8fe86d4e35d46108b5f29426d4c406a.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f8fe86d4e35d46108b5f29426d4c406a~tplv-fhlh96nyum-crop-webp:2400:2400.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",154.87,15330.0,108.1,12.0,18.58,22.0,9,,https://shop.tiktok.com/view/product/1732046289706455516,Stop overthinking the Naturalizer Womens Carla-Stud Ballet Flat - Medi and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Ziqing Arm-in Type Upper Arm BP Monitor with LED Display, 1-Touch Measurement, High Accuracy, Accurate Reading, No Cuff, 99x2 Reading Memory, ABS Medical-Grade ",ziqing-arm-in-type-upper-arm-bp-monitor--1732333539141128282.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/29c5fc6cc33049798b8a4528e460d131.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/29c5fc6cc33049798b8a4528e460d131.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/29c5fc6cc33049798b8a4528e460d131~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",127.15,27340.0,38.2,18.0,22.89,96.0,10,,https://shop.tiktok.com/view/product/1732333539141128282,"If you have been waiting on the Ziqing Arm-in Type Upper Arm BP Monitor with LED, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Bond 007 Body Spray Bundle | Z6 + Z7 +Z9 + Z19 + Z25 | Zakat | Unisex | 200 ML | Perfumed Body Spray | Violet Leaf - Blueberry & Cassis,bond-007-body-spray-bundle-z6-z7-z9-z19--1732382105186308365.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ace66c2eb5154d62868cabc9f6459d15.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ace66c2eb5154d62868cabc9f6459d15.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ace66c2eb5154d62868cabc9f6459d15~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",111.45,36450.0,273.8,15.0,16.72,17.0,7,,https://shop.tiktok.com/view/product/1732382105186308365,Me telling you to grab the Bond 007 Body Spray Bundle before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
NuDerma Clinical High Frequency Wand with Fusion Neon-Argon Applicators Anti-Aging Anti-Acne by Pure Daily Care Facial Beauty Instrument,nuderma-clinical-high-frequency-wand-wit-1729401883679232365.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bd2bcb5ec9704e8b8fc54bfcddc7d981.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bd2bcb5ec9704e8b8fc54bfcddc7d981.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/bd2bcb5ec9704e8b8fc54bfcddc7d981~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",97.93,25460.0,54.2,15.0,14.69,192.0,9,,https://shop.tiktok.com/view/product/1729401883679232365,The NuDerma Clinical High Frequency Wand with Fusion everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Onail Tornado Professional Nail Dust Collector for Nail Salon Manicure (Plug-in Only),onail-tornado-professional-nail-dust-col-1732426259628528430.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9e053db428804e5e87b76cbffe67a8e5.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9e053db428804e5e87b76cbffe67a8e5.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9e053db428804e5e87b76cbffe67a8e5~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",94.35,16320.0,37.4,13.0,12.27,143.0,9,,https://shop.tiktok.com/view/product/1732426259628528430,"I am so sorry if you already grabbed an Onail Tornado Professional Nail Dust Collector f, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
The Starter Pack,the-starter-pack-1731931754952953977.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ba410c9c886446819f505faa93e38a13.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ba410c9c886446819f505faa93e38a13.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ba410c9c886446819f505faa93e38a13~tplv-fhlh96nyum-crop-webp:3502:3502.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",83.56,18720.0,85.7,15.0,12.53,34.0,9,,https://shop.tiktok.com/view/product/1731931754952953977,"If you have been waiting on the The Starter Pack, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
First Class Jetsetter Beauty Bundle Kit - Mini Exclusive Pink Suitcase plus Naked Sundays bestselling SPF and Skincare products (SAVE 40%),first-class-jetsetter-beauty-bundle-kit--1732513464542401408.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6743c8d0988c4d8f9c216e68e304cd71.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6743c8d0988c4d8f9c216e68e304cd71.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6743c8d0988c4d8f9c216e68e304cd71~tplv-fhlh96nyum-crop-webp:2048:2048.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",76.31,40440.0,108.1,15.0,11.45,45.0,9,,https://shop.tiktok.com/view/product/1732513464542401408,Do NOT scroll past the First Class Jetsetter Beauty Bundle Kit - Mini E if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Womens Jaclyn Slingback Bow Heel Toffee Kid Suede,womens-jaclyn-slingback-bow-heel-toffee--1732466982382768434.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d5c5d61791ff43448c4e93c13b3bbd21.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d5c5d61791ff43448c4e93c13b3bbd21.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/d5c5d61791ff43448c4e93c13b3bbd21~tplv-fhlh96nyum-crop-webp:2048:2048.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",74.93,19860.0,999.9,14.0,10.49,24.0,7,,https://shop.tiktok.com/view/product/1732466982382768434,"I am so sorry if you already grabbed an Womens Jaclyn Slingback Bow Heel Toffee Kid Sued, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
