product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"Men's 3-Pcs Jacquard Stand Collar Henley Shirt - Menswear, Long Sleeves, Button Front, Polyester Blend, All-Seasons, Minimalist Street Sporty Casual Sweatshirt",men-s-3-pcs-jacquard-stand-collar-henley-1732499500741006314.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d96a3176ea3148378a5d9939d1a8ce2d.png,119.0,7380.0,150.9,10.0,11.9,39.0,9,,https://shop.tiktok.com/view/product/1732499500741006314,"If you have been waiting on the Men's 3-Pcs Jacquard Stand Collar Henley Shirt -, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"MOTT & BOW Mercer Men's Mid-Rise Straight Leg Essential Jeans - 25% Stretch Cotton-Elastane Denim Pants, Mid-Rise Sits Naturally on the Waist, Flattering Fit, M",mott-bow-mercer-men-s-mid-rise-straight--1731834005109248824.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast8-i-rt0ujvrtvp-tx2/0682934dc8014792a95da0e7f4d721b5.png,119.0,1550.0,271.4,15.0,17.85,41.0,10,,https://shop.tiktok.com/view/product/1731834005109248824,I can not believe how good the MOTT & BOW Mercer Men's Mid-Rise Straight Leg Es is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"AELFRIC EDEN Cloud Classic Men's 2-Piece Basic Loose Pants Set - Oversized Hoodie & Essential Sweatpants, Lounge Tracksuit, Women-Compatible Unisex Set,sohochic",aelfric-eden-cloud-classic-men-s-2-piece-1731491849762607714.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2875eab4b25541c2997a9df9201f4ab5.png,94.95,4750.0,121.4,10.0,9.49,87.0,7,,https://shop.tiktok.com/view/product/1731491849762607714,"Run, do not walk, to grab the AELFRIC EDEN Cloud Classic Men's 2-Piece Basic L. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"Men's 4pcs Business Casual Slim Fit Straight Leg Trousers - Stretch Clothes with Draping Effect, Machine Washable Men's Pants, All Season, Suitable for Golf & F",men-s-4pcs-business-casual-slim-fit-stra-1732522507772138474.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/7de28eaa2faa45dba75b70ed7659cb63.png,92.0,4970.0,68.8,10.0,9.2,18.0,9,,https://shop.tiktok.com/view/product/1732522507772138474,I can not believe how good the Men's 4pcs Business Casual Slim Fit Straight Leg is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Metal Button Boxy Jacket Black Long Sleeve Stand Collar Slant Placket Unisex Fashion Street Jacket Retro Y2K,clothes for back to school,first day o",aelfric-eden-metal-button-boxy-jacket-bl-1731967294457614946.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/c2964769ac68465a98ccaeb4965fbabf.png,89.95,1620.0,51.8,10.0,8.99,28.0,10,,https://shop.tiktok.com/view/product/1731967294457614946,Do NOT scroll past the Aelfric Eden Metal Button Boxy Jacket Black Long if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Legendary Whitetails Men's Buck Commander Deerfield Plaid Cotton Casual Flannel Berber-Lined Shirt Jacket Tops, Soft, Low-Iron Menswear with Pocket",legendary-whitetails-men-s-buck-commande-1731919902857859381.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/02981939f88c4fe6b7c7f18f50122a29.png,88.94,1600.0,51.8,11.0,9.78,17.0,10,,https://shop.tiktok.com/view/product/1731919902857859381,"Trust me, you want the Legendary Whitetails Men's Buck Commander Deerfi in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Affliction Men's Mystery Bundle,affliction-men-s-mystery-bundle-1731252351675568770.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/22ac848b690b4d8995eb47f55edb706c.png,86.9,1740.0,35.3,10.0,8.69,10.0,9,,https://shop.tiktok.com/view/product/1731252351675568770,I can not believe how good the Affliction Men's Mystery Bundle is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
mnml Super Flare Denim,mnml-super-flare-denim-1731863541324419454.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e09772208a2a46d9a23f859cf43b825e.png,84.0,4370.0,76.5,13.0,10.92,54.0,8,,https://shop.tiktok.com/view/product/1731863541324419454,"If you have been waiting on the mnml Super Flare Denim, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
mnml Skinny Waxed Denim - Black,mnml-skinny-waxed-denim-black-1732230773693976958.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/570b734611b94ccbae94de2f05258ab8.png,73.92,1700.0,62.6,10.0,7.39,18.0,9,,https://shop.tiktok.com/view/product/1732230773693976958,This is your sign to finally grab the mnml Skinny Waxed Denim - Black. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Gihuo Big and Tall T Shirts for Men Acid Wash Oversized T-Shirts Plus Size Vintage Summer Cotton Tees,gihuo-big-and-tall-t-shirts-for-men-acid-1732418509001232640.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2919dd3b31804c75a9af5274b0940237.png,71.98,2300.0,63.5,10.0,7.2,7.0,8,,https://shop.tiktok.com/view/product/1732418509001232640,The Gihuo Big and Tall T Shirts for Men Acid Wash Ov is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
