product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"【2/3 Packages Shipping】Ovios 108\"" U-Shaped Modern Sofa Modular Sectional Cloud Couch with 2 Ottoman, Comfy Chenille Deep Seat Sofa Bed with 5 Pillows for Livin",2-3-packages-shipping-ovios-108-u-shaped-1732282938510054238.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",561.36,1160000.0,-2.8,5.0,28.07,403.0,10,,https://shop.tiktok.com/view/product/1732282938510054238,"The 【2/3 Packages Shipping】Ovios 108\"" U-Shaped Mode is about to be everywhere. Get it first. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"【2 Packages Shipping】GOSUHI 108\"" U-Shaped Modular Sectional Sofa - Comfy Cloud 3-Seater with 2 Movable Ottoman, Cloud Sofa,Deep Seat Linen Couch for Living Roo",2-packages-shipping-gosuhi-108-u-shaped--1731438296477111249.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4205bc477df74882ad4f06d077e07c42.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4205bc477df74882ad4f06d077e07c42.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4205bc477df74882ad4f06d077e07c42~tplv-fhlh96nyum-crop-webp:2048:2048.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",561.07,1800000.0,21.2,9.0,50.5,1370.0,8,,https://shop.tiktok.com/view/product/1731438296477111249,"Me telling you to grab the 【2 Packages Shipping】GOSUHI 108\"" U-Shaped Modul before it sells out again. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Skullcandy Crusher Evo - Bass Headphones with Personal Sound | True Wireless | Bluetooth 5.0 | Built-in Microphone Portable Audio Headphones Headset Audio,skullcandy-crusher-evo-bass-headphones-w-1731084063732043853.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/61d9d08e9fca45b5a45b3a3ba4794c81.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/61d9d08e9fca45b5a45b3a3ba4794c81.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/61d9d08e9fca45b5a45b3a3ba4794c81~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",103.34,1010000.0,73.8,7.0,7.23,1020.0,8,,https://shop.tiktok.com/view/product/1731084063732043853,Me telling you to grab the Skullcandy Crusher Evo - Bass Headphones with Pe before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"【SUMMERSALE】 YAGUD Foldable Handrail Adjustable Incline Treadmill, Low Noise Motor Walking Pad, 265lbs Weight Capacity, Remote Control & Wheels for Easy mobilit",summersale-yagud-foldable-handrail-adjus-1731997553148727591.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60cbe16d8db743ffb961390241e26047.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60cbe16d8db743ffb961390241e26047.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/60cbe16d8db743ffb961390241e26047~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",92.28,808280.0,24.6,6.0,5.54,752.0,7,,https://shop.tiktok.com/view/product/1731997553148727591,Stop overthinking the 【SUMMERSALE】 YAGUD Foldable Handrail Adjustable  and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Comfrt | The Dreamer Blanket | Oversized, Cozy, Soft Warm Throw",comfrt-the-dreamer-blanket-oversized-coz-1729931833196778371.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5~tplv-fhlh96nyum-crop-webp:4000:4000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",85.43,1680000.0,80.1,10.0,8.54,2840.0,8,,https://shop.tiktok.com/view/product/1729931833196778371,"Run, do not walk, to grab the Comfrt. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Mellow Sleep | MarshMellow Comforter - Double-Stuffed Ultra-Soft A-Class Fabric Heat-Adaptive Vegan Fill OEKO-TEX Certified Machine Washable,mellow-sleep-marshmellow-comforter-doubl-1732017379984117841.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bab2a006cb3f44f48cb039cdd903fa34.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bab2a006cb3f44f48cb039cdd903fa34.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/bab2a006cb3f44f48cb039cdd903fa34~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",84.92,1450000.0,-5.0,15.0,12.74,2580.0,10,,https://shop.tiktok.com/view/product/1732017379984117841,"Run, do not walk, to grab the Mellow Sleep. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
[medicube] Affordable Glass Glow Skincare Set | Includes 8 products for Gentle Skin Glow Routine,medicube-affordable-glass-glow-skincare--1729606769780232427.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9d044ebb2aaf4920b2d68832c9633dd0.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9d044ebb2aaf4920b2d68832c9633dd0.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9d044ebb2aaf4920b2d68832c9633dd0~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",84.42,1000000.0,-11.6,15.0,12.66,4040.0,9,,https://shop.tiktok.com/view/product/1729606769780232427,Do NOT scroll past the Affordable Glass Glow Skincare Set if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Advanced Food Intolerance Labs Food Sensitivity Vitamins & Gut Health Test 1000+ Items Tested for Sensitivities Nutrient Imbalances & Heavy Metals,advanced-food-intolerance-labs-food-sens-1730664019526258810.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3fd2808dcaba464caf7c36ba2320d6c4.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3fd2808dcaba464caf7c36ba2320d6c4.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/3fd2808dcaba464caf7c36ba2320d6c4~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",72.24,1030000.0,97.7,20.0,14.45,1110.0,10,,https://shop.tiktok.com/view/product/1730664019526258810,"I am so sorry if you already grabbed an Advanced Food Intolerance Labs Food Sensitivity , because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"[medicube] Gatekeeping My Real Age Set | 5-step Longevity, Anti- Aging Routine l PDRN & Volufiline & Collagen & NAD+ EGF Complex l Cares for Look of Fine Lines,",medicube-gatekeeping-my-real-age-set-5-s-1732363645554692331.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6903720363ba4bd7b1ceb7f3ddae340b.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6903720363ba4bd7b1ceb7f3ddae340b.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6903720363ba4bd7b1ceb7f3ddae340b~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",71.66,1640000.0,-32.5,15.0,10.75,3940.0,10,,https://shop.tiktok.com/view/product/1732363645554692331,POV: you found the Gatekeeping My Real Age Set before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
[Dr.Melaxin Official] Gifted Collagen Boost Set Pore Spot Skin Care Calcium Collagen Volume Firming Balm for Enhanced Skin Health routine,dr-melaxin-official-gifted-collagen-boos-1731997246433955867.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60593f61e24149a784702250f7f98a72.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60593f61e24149a784702250f7f98a72.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/60593f61e24149a784702250f7f98a72~tplv-fhlh96nyum-crop-webp:600:600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",55.81,1370000.0,14.0,15.0,8.37,2230.0,10,,https://shop.tiktok.com/view/product/1731997246433955867,Stop overthinking the Gifted Collagen Boost Set Pore Spot Skin Care Ca and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
