product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"Shinesty Mens Mystery Boxer Brief W/Fly 7-Pack - Ball Hammock® Pouch Support, Standard Length 6 Inch Inseam, Silky Soft, Stretchy, Breathable Natural MicroModal",shinesty-mens-mystery-boxer-brief-w-fly--1732418775013757543.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d578a68fb80b4a048d943e34960be437.png,209.93,4410.0,96.0,15.0,31.49,17.0,8,,https://shop.tiktok.com/view/product/1732418775013757543,Your future self will thank you for grabbing the Shinesty Mens Mystery Boxer Brief W/Fly 7-Pack - today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Runcati Men's Notch Lapel Double Breasted Long Trench Coat Casual Cotton Blend Peacoat,runcati-men-s-notch-lapel-double-breaste-1731784787801313410.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4dddffe26b3d498daf0e684cc5cadad3.png,69.99,1050.0,83.1,12.0,8.4,37.0,7,,https://shop.tiktok.com/view/product/1731784787801313410,The Runcati Men's Notch Lapel Double Breasted Long T is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
mnml Cinched Baggy Sweatpants,mnml-cinched-baggy-sweatpants-1732139184013283710.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bf92d5723568494cbed59bbdca97f47b.png,68.0,7680.0,53.4,12.0,8.16,96.0,9,,https://shop.tiktok.com/view/product/1732139184013283710,Me telling you to grab the mnml Cinched Baggy Sweatpants before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Pack Mens Tech Fleece Performance Sweatpants with Open Bottom (Sizes S-3XL),pack-mens-tech-fleece-performance-sweatp-1732480859592167680.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/a37a7dcd345d426ba69d400cbde6a06e.png,67.99,1220.0,53.8,10.0,6.8,16.0,9,,https://shop.tiktok.com/view/product/1732480859592167680,"If you have been waiting on the Pack Mens Tech Fleece Performance Sweatpants wit, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
COOFANDY Mens Sport Coat Casual Blazer One Button Business Suit Jacket Classic Menswear Fashion Outfit Vneck Long Sleeve,coofandy-mens-sport-coat-casual-blazer-o-1729430076357382153.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e70e2a04367641b48dfe0e5c2ea2b6b7.png,66.49,6450.0,122.2,10.0,6.65,43.0,7,,https://shop.tiktok.com/view/product/1729430076357382153,POV: you found the COOFANDY Mens Sport Coat Casual Blazer One Butto before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
mnml Hooded Sprayed Ripstop Jacket - Camo,mnml-hooded-sprayed-ripstop-jacket-camo-1732365127593529726.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/342ddca6b03943b1aee7abc20bf6ad7f.png,59.67,2740.0,402.7,10.0,5.97,14.0,9,,https://shop.tiktok.com/view/product/1732365127593529726,This is your sign to finally grab the mnml Hooded Sprayed Ripstop Jacket - Camo. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Inflation Gradient Wash Sweatpants Crown Crest Embroidery Cursive Letter Print Seam Panel Baggy Wide Leg Streetwear Casual Pants,clothes for back to school,firs",inflation-gradient-wash-sweatpants-crown-1732448825267818903.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/a91b265d43094d82a49b8b1b9247c17f.png,59.42,1250.0,52.5,13.0,7.72,7.0,7,,https://shop.tiktok.com/view/product/1732448825267818903,This is your sign to finally grab the Inflation Gradient Wash Sweatpants Crown Crest E. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Haus | Premium Ultra-Soft Cotton Fitted Tank 6 Pack,haus-premium-ultra-soft-cotton-fitted-ta-1731664568127951530.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60d2d9ed72154421aa569f53a6565650.png,59.0,2009.9999999999998,34.9,10.0,5.9,47.0,9,,https://shop.tiktok.com/view/product/1731664568127951530,Your future self will thank you for grabbing the Haus today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"【Nebility】Men's Waist Trainer Trimmer Compression Vest Steel Bone Support Outdoor Sport Exercise Athletic Shapewear Fitness Zipper,fathersdaygift",nebility-men-s-waist-trainer-trimmer-com-1729471869271905011.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bae10438bad24d44bd454be12b0458ad.png,53.97,3510.0,34.7,13.0,7.02,27.0,8,,https://shop.tiktok.com/view/product/1729471869271905011,"Trust me, you want the 【Nebility】Men's Waist Trainer Trimmer Compressio in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"Cute Bug Print Pink Washed Hoodie The World Is Cruel Slogan 380g Autumn VIntage Washed Hoodie Graphic Sweatshirt,sohochic",cute-bug-print-pink-washed-hoodie-the-wo-1732457133834343380.jpg,https://img.kalocdn.com/tiktok.product.images/tos-maliva-i-o3syd03w52-us/c500cf558b7b4df99abf8536ecb54a34.png,42.89,13550.0,186.8,12.0,5.15,74.0,9,,https://shop.tiktok.com/view/product/1732457133834343380,"If you have been waiting on the Cute Bug Print Pink Washed Hoodie The World Is C, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"Gihuo Unisex Cotton Washed Denim Hoodie Vintage Oversized Half Zip Pullover Sweatshirt with Zip Pockets, Long Sleeve Casual Hooded Sweatshirt for Baggy Cargo",gihuo-unisex-cotton-washed-denim-hoodie--1732422673329590528.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/dafca9ed9074493ba1b97180ca62f99f.png,42.89,1540.0,77.5,10.0,4.29,30.0,7,,https://shop.tiktok.com/view/product/1732422673329590528,Adding the Gihuo Unisex Cotton Washed Denim Hoodie Vintage  to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
