product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"MOTT & BOW Mercer Men's Mid-Rise Straight Leg Essential Jeans - 25% Stretch Cotton-Elastane Denim Pants, Mid-Rise Sits Naturally on the Waist, Flattering Fit, M",mott-bow-mercer-men-s-mid-rise-straight--1731834005109248824.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast8-i-rt0ujvrtvp-tx2/0682934dc8014792a95da0e7f4d721b5.png,119.0,1190.0,33.0,14.0,16.66,41.0,10,,https://shop.tiktok.com/view/product/1731834005109248824,I can not believe how good the MOTT & BOW Mercer Men's Mid-Rise Straight Leg Es is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Grey “Rhinestone” Hoodie,grey-rhinestone-hoodie-1730672521932345769.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e7cd395b1a9d46d9bd9dc3e1c76fd5db.png,100.0,900.0,39.0,20.0,20.0,8.0,9,,https://shop.tiktok.com/view/product/1730672521932345769,Do NOT scroll past the Grey “Rhinestone” Hoodie if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
FB County Iced Out Hoodie,fb-county-iced-out-hoodie-1732558609403121961.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/048fc685d88b44fe9da3704acbeb1dc9.png,99.0,693.0,76.6,10.0,9.9,10.0,7,,https://shop.tiktok.com/view/product/1732558609403121961,"I am so sorry if you already grabbed an FB County Iced Out Hoodie, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Aelfric Eden Unisex Ribbed Striped Boxy Cropped Zip-Up Hoodie, Sailor Collar, Contrast Stripe Sleeves, Stretch Knit Fabric, Everyday Fit Daily Casual Streetwear",aelfric-eden-unisex-ribbed-striped-boxy--1732351394676642402.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/999eb9b3c5a943e1a7e6cfb766dc704f.png,71.0,781.0,33.3,10.0,7.1,56.0,7,,https://shop.tiktok.com/view/product/1732351394676642402,POV: you found the Aelfric Eden Unisex Ribbed Striped Boxy Cropped  before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
WEST COAST CHOPPERS Core Logo Mens Hoodie,west-coast-choppers-core-logo-mens-hoodi-1731647962258379189.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast8-i-rt0ujvrtvp-tx2/7b9ad074bd1e4435b13df292ba85c03b.png,59.0,1360.0,39.9,15.0,8.85,14.0,8,,https://shop.tiktok.com/view/product/1731647962258379189,"If you have been waiting on the WEST COAST CHOPPERS Core Logo Mens Hoodie, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Men's Stylish Faux Fur Collar Padded Long Sleeve Coat - Menswear Zip-Up Warm Bomber, Y2K Motor Aviator, Thick Fabric, Cropped, Buckle Detail, Embroidered Cross ",men-s-stylish-faux-fur-collar-padded-lon-1732238250535850260.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f7dcdd8359c04ff08454e557c0a14098.png,56.0,1290.0,95.8,14.0,7.84,9.0,10,,https://shop.tiktok.com/view/product/1732238250535850260,"Run, do not walk, to grab the Men's Stylish Faux Fur Collar Padded Long Sleeve. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Cove | Baggy Jeans,cove-baggy-jeans-1732546891621634956.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/c65e4893f1c849e99e65218d74c39bce.png,49.0,1810.0,204.0,18.0,8.82,18.0,10,,https://shop.tiktok.com/view/product/1732546891621634956,"Run, do not walk, to grab the Cove. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Runcati Mens Lightweight Jackets Full Zip Business Casual Windbreaker Fall Golf Coat Jacket with Pockets,runcati-mens-lightweight-jackets-full-zi-1731933117856125058.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/a81b763a3de24961971a367526f3df78.png,41.0,861.0,53.4,12.0,4.92,21.0,9,,https://shop.tiktok.com/view/product/1731933117856125058,"If you have been waiting on the Runcati Mens Lightweight Jackets Full Zip Busine, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Legendary Whitetails Men's Heavyweight Outfitter Camo Hoodie - Men's Clothing, Cozy Cotton-Blend Fleece Long Sleeve Top with Kangaroo Pocket, 3-Panel Hood Adds ",legendary-whitetails-men-s-heavyweight-o-1732022116448178485.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/fe4909e35e494095b803a51470bb71c4.png,40.0,640.0,57.5,10.0,4.0,25.0,10,,https://shop.tiktok.com/view/product/1732022116448178485,The Legendary Whitetails Men's Heavyweight Outfitter is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Cove | Stretch Chino Pant,cove-stretch-chino-pant-1732266242873332620.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4eaadd107a2241349f6b5e45611891ae.png,39.0,4600.0,72.6,18.0,7.02,19.0,10,,https://shop.tiktok.com/view/product/1732266242873332620,Your future self will thank you for grabbing the Cove today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Men's Cotton-Poly Plain Solid Casual Long-Sleeve Fitted Pullover Hoodie - Soft, Breathable, Skin-Friendly, Lightweight, Machine-Washable Minimalist All-Seasons ",men-s-cotton-poly-plain-solid-casual-lon-1732510152497992632.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1a6349ac5bd44fcbacc1da1f12bcef97.png,39.0,2610.0,32.8,13.0,5.07,16.0,8,,https://shop.tiktok.com/view/product/1732510152497992632,"Trust me, you want the Men's Cotton-Poly Plain Solid Casual Long-Sleeve in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
JMIERR Men's Crewneck Sweater Soft Casual Sweaters Classic Long Sleeve Pullover Sweaters with Ribbing Edge,jmierr-men-s-crewneck-sweater-soft-casua-1729542705151775083.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/77aa5e68bae74cd09abe1234e87e6752.png,39.0,819.0,55.3,10.0,3.9,31.0,9,,https://shop.tiktok.com/view/product/1729542705151775083,"Run, do not walk, to grab the JMIERR Men's Crewneck Sweater Soft Casual Sweate. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Cove | Chino Shorts,cove-chino-shorts-1732266246958322572.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/dd8e4efd0e42422c95ed78ef74f6af9a.png,39.0,585.0,37.8,18.0,7.02,11.0,8,,https://shop.tiktok.com/view/product/1732266246958322572,This is your sign to finally grab the Cove. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"GOOSH Men's Personalized Full Body Inflatable Dinosaur Onesie Costume Set, Realistic Polyester T-Rex Blow-Up Outfit with Red Glowing Eyes for Funny Halloween Co",goosh-men-s-personalized-full-body-infla-1729438196006490809.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e6f44a0c80bb467ab5a6191a44bd5cdf.png,35.0,1220.0,129.2,11.0,3.85,20.0,7,,https://shop.tiktok.com/view/product/1729438196006490809,"I am so sorry if you already grabbed an GOOSH Men's Personalized Full Body Inflatable Di, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Acid Wash Hoodie, 90s hip-hop street style hoodie,suitable for rappers and retro music lovers, streetwear fashion",acid-wash-hoodie-90s-hip-hop-street-styl-1732126151192056296.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/42d8883cb4624671a1efaed54cb202d9.png,35.0,910.0,75.1,14.0,4.9,29.0,9,,https://shop.tiktok.com/view/product/1732126151192056296,Your future self will thank you for grabbing the Acid Wash Hoodie today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"MeJend 12oz Heavyweight Cropped Long Sleeve T-Shirt, 100% Cotton Graphic Tee, Unisex Crewneck Streetwear LS Tee, Good Graphic Shirt",mejend-12oz-heavyweight-cropped-long-sle-1732498476476109654.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3e3f1825808c4d698ff08201a4340ffe.png,35.0,735.0,39.6,11.0,3.85,20.0,8,,https://shop.tiktok.com/view/product/1732498476476109654,"Trust me, you want the MeJend 12oz Heavyweight Cropped Long Sleeve T-Sh in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Eddie Bauer | Men's Classic Roll Neck Sweater, Soft Cotton Blend Breathable Layering All Day Comfort",eddie-bauer-men-s-classic-roll-neck-swea-1732465325516624398.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/c94e87ea99ce4611866bebfb8e1ccd1e.png,35.0,560.0,107.4,11.0,3.85,7.0,8,,https://shop.tiktok.com/view/product/1732465325516624398,"Trust me, you want the Eddie Bauer in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Cove | Hybrid Shorts - Solids,cove-hybrid-shorts-solids-1732380447934223244.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/537ed4b00dd64511868fe0747b10f80e.png,35.0,560.0,217.0,23.0,8.05,11.0,9,,https://shop.tiktok.com/view/product/1732380447934223244,Consider this your reminder to grab the Cove you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Pack Men's Open Bottom Fleece Jogger Sweatpants with Velcro Cargo Pockets,pack-men-s-open-bottom-fleece-jogger-swe-1732520967051645184.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4d29f052a65a4c8b953a4c29c9762fa4.png,33.0,1750.0,63.2,12.0,3.96,16.0,10,,https://shop.tiktok.com/view/product/1732520967051645184,Me telling you to grab the Pack Men's Open Bottom Fleece Jogger Sweatpants  before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Men's Quarter Zip Mock Neck Pullover, Old Money Style Long Sleeve Sweatshirt with Ribbed Hem, Smart Casual Layering Top for Golf, Work, Fall Winter & Everyday W",men-s-quarter-zip-mock-neck-pullover-old-1732494215562171178.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/543d115b5226451baa05771c2f8765ef.png,31.0,8090.0,156.8,10.0,3.1,82.0,10,,https://shop.tiktok.com/view/product/1732494215562171178,"I am so sorry if you already grabbed an Men's Quarter Zip Mock Neck Pullover, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"JMIERR Men's Chenille Sweater Soft Pullover Crewneck | Soft Chenille Fabric, Crewneck Sweatshirt, Warm Stretch Feel, Fall Winter Casual Top, Easy Daily Wear",jmierr-men-s-chenille-sweater-soft-pullo-1732437172283609451.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/fdc828beb2074b999d147d8636bf241f.png,31.0,558.0,137.4,10.0,3.1,19.0,10,,https://shop.tiktok.com/view/product/1732437172283609451,"Run, do not walk, to grab the JMIERR Men's Chenille Sweater Soft Pullover Crew. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Haus | Essentials Long Sleeve Athletic Fitted Tee Modern,haus-essentials-long-sleeve-athletic-fit-1729761348678226602.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/566cdaa77aaf4eccae0f9ba98f0b446f.png,30.0,2700.0,30.6,10.0,3.0,43.0,7,,https://shop.tiktok.com/view/product/1729761348678226602,"If you have been waiting on the Haus, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Plaid&Plain Men's Dress Pants Slim Fit Stretch Khaki Pants Menswear Wrinkle Free Men's Dress Pants,plaid-plain-men-s-dress-pants-slim-fit-s-1731464147816780686.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/16e96b649cf541b5938864533c25958d.png,30.0,1410.0,48.9,10.0,3.0,23.0,7,,https://shop.tiktok.com/view/product/1731464147816780686,"I am so sorry if you already grabbed an Plaid&Plain Men's Dress Pants Slim Fit Stretch K, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
