product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"Shinesty Mens Mystery Boxer Brief W/Fly 7-Pack - Ball Hammock® Pouch Support, Standard Length 6 Inch Inseam, Silky Soft, Stretchy, Breathable Natural MicroModal",shinesty-mens-mystery-boxer-brief-w-fly--1732418775013757543.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d578a68fb80b4a048d943e34960be437.png,209.93,22040.0,-67.9,15.0,31.49,18.0,10,,https://shop.tiktok.com/view/product/1732418775013757543,The Shinesty Mens Mystery Boxer Brief W/Fly 7-Pack - everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"HOMUG 4 Pack Tactical Pants for Men , Ripstop Work Pants for Men, Lightweight Hiking Cargo Pants, Outdoor Apparel, Suitable for Outdoor Sports, Training, Campin",homug-4-pack-tactical-pants-for-men-rips-1732274482025828548.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/df0eff81712e4ba0bdb2cbaf8e236228.png,116.97,34860.0,-59.1,10.0,11.7,83.0,8,,https://shop.tiktok.com/view/product/1732274482025828548,The HOMUG 4 Pack Tactical Pants for Men is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"PSD Mens Mystery Boxer Brief 10-Pack Bundle - Standard Length 7 Inch Inseam, Soft, Stretchy, and Breathable Poly Blend Fabric",psd-mens-mystery-boxer-brief-10-pack-bun-1731537314539148095.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ece5eef9b25f41bb9293578cfde05352.png,99.99,42100.0,1.4,10.0,10.0,53.0,9,,https://shop.tiktok.com/view/product/1731537314539148095,Your future self will thank you for grabbing the PSD Mens Mystery Boxer Brief 10-Pack Bundle - St today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Men's 4pcs Business Casual Slim Fit Straight Leg Trousers - Stretch Clothes with Draping Effect, Machine Washable Men's Pants, All Season, Suitable for Golf & F",men-s-4pcs-business-casual-slim-fit-stra-1732522507772138474.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/7de28eaa2faa45dba75b70ed7659cb63.png,92.0,16280.000000000002,-18.5,10.0,9.2,19.0,9,,https://shop.tiktok.com/view/product/1732522507772138474,POV: you found the Men's 4pcs Business Casual Slim Fit Straight Leg before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Aelfric Eden Pinstripe Baggy Barrel Jeans High Waist Balloon Barrel Silhouette Pinstripe Denim Fabric Pleated Waist Detail Heavyweight Denim Retro Streetwear Un,aelfric-eden-pinstripe-baggy-barrel-jean-1732423194888999522.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/984823a74a0d426094207b727807ee69.png,80.0,29200.0,798.0,10.0,8.0,73.0,10,,https://shop.tiktok.com/view/product/1732423194888999522,"Run, do not walk, to grab the Aelfric Eden Pinstripe Baggy Barrel Jeans High W. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Men's 2-Piece Matching Sets - Boxy Graphic Zip-Up Hoodie & Drawstring Waist Baggy Sweatpants, Streetwear Embroidered Outfit",aelfric-eden-men-s-2-piece-matching-sets-1732506924362535522.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/a8e7f84922954ee2a4ce9f484b0e2f27.png,77.4,16410.0,655.9,10.0,7.74,53.0,7,,https://shop.tiktok.com/view/product/1732506924362535522,The Aelfric Eden Men's 2-Piece Matching Sets - Boxy  is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Unisex Baggy Wide-Leg Leopard Print Joggers - Double Waist Layered, Embroidered, Soft, Drawstring, Polyester-Cotton Fabric, Casual Streetwear Track",aelfric-eden-unisex-baggy-wide-leg-leopa-1732224378134631010.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/fdbeb3b6a6c84153a1ba23de8c0ec722.png,75.55,18210.0,89.6,11.0,8.31,81.0,8,,https://shop.tiktok.com/view/product/1732224378134631010,Do NOT scroll past the Aelfric Eden Unisex Baggy Wide-Leg Leopard Print if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"PSD Mens Mystery Boxer Brief 6-Pack - Standard Length 7 Inch Inseam, Soft, Stretchy, and Breathable Poly Blend Fabric",psd-mens-mystery-boxer-brief-6-pack-stan-1731537308876706623.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d5ba5d4800594a868a50187e9ce666ad.png,69.99,26110.0,-3.2,10.0,7.0,93.0,7,,https://shop.tiktok.com/view/product/1731537308876706623,This is your sign to finally grab the PSD Mens Mystery Boxer Brief 6-Pack - Standard L. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"HOMUG Men's 4-Pack Tactical Cargo Pants are crafted from a brand-new 230g/m² fabric, featuring multiple pockets and zipper closures. Available in a variety of c",homug-men-s-4-pack-tactical-cargo-pants--1732253266243654550.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/db5040eddd58452b87e40a3d7414c58e.png,69.48,30780.0,-27.8,10.0,6.95,51.0,6,,https://shop.tiktok.com/view/product/1732253266243654550,Adding the HOMUG Men's 4-Pack Tactical Cargo Pants are craf to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"YND Men's 3-Piece Long Sleeve Classic Business Office Suit Set - Formal Menswear with Vest, Pants, Tie for Wedding, Party (Beige, Black)",ynd-men-s-3-piece-long-sleeve-classic-bu-1729458283583869173.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5b6a4f67db134976876f1fa313c5ee65.png,65.95,21500.0,13.1,10.0,6.59,86.0,8,,https://shop.tiktok.com/view/product/1729458283583869173,Consider this your reminder to grab the YND Men's 3-Piece Long Sleeve Classic Business O you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
