product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"Aelfric Eden Men's 2-Piece Matching Sets - Boxy Graphic Zip-Up Hoodie & Drawstring Waist Baggy Sweatpants, Streetwear Embroidered Outfit",aelfric-eden-men-s-2-piece-matching-sets-1732506924362535522.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f34dd2504c19420eb40d362338642b95.png,94.0,3380.0,36.5,10.0,9.4,86.0,9,,https://shop.tiktok.com/view/product/1732506924362535522,Stop overthinking the Aelfric Eden Men's 2-Piece Matching Sets - Boxy  and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"AELFRIC EDEN Men's Cloud Classic 2-Piece Unisex Loose Set - Cotton-Poly Pullover Hoodie & Athletic Plain Essential Sweatpants, Elegant Lounge Tracksuit (Women-C",aelfric-eden-men-s-cloud-classic-2-piece-1731491849762607714.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2875eab4b25541c2997a9df9201f4ab5.png,91.0,3180.0,128.6,10.0,9.1,95.0,8,,https://shop.tiktok.com/view/product/1731491849762607714,The AELFRIC EDEN Men's Cloud Classic 2-Piece Unisex  is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"PSD Mens Solids Dark Tones Boxer Brief 6 Pack - Standard Length 7 Inch Inseam, Soft and Breathable Cotton Fabric",psd-mens-solids-dark-tones-boxer-brief-6-1731936241575039807.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/69db8a16380549efb6502c68c1060c48.png,80.0,2080.0,137.9,10.0,8.0,7.0,9,,https://shop.tiktok.com/view/product/1731936241575039807,The PSD Mens Solids Dark Tones Boxer Brief 6 Pack -  everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"PSD Mens Essentials Boxer Brief 6 Pack - Standard Length 7 Inch Inseam, Soft and Breathable Cotton Fabric",psd-mens-essentials-boxer-brief-6-pack-s-1729482146874890047.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3b599d1c29cd40428032d78e4c10536e.png,80.0,1600.0,82.3,10.0,8.0,15.0,8,,https://shop.tiktok.com/view/product/1729482146874890047,I can not believe how good the PSD Mens Essentials Boxer Brief 6 Pack - Standar is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Aelfric Eden Unisex Ribbed Striped Boxy Cropped Zip-Up Hoodie - Sailor Collar, Contrast Stripe Sleeves, Stretch Knit Fabric, 60% Cotton 40% Polyester, Ribbed Cu",aelfric-eden-unisex-ribbed-striped-boxy--1732351394676642402.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/999eb9b3c5a943e1a7e6cfb766dc704f.png,71.0,1420.0,100.1,10.0,7.1,56.0,7,,https://shop.tiktok.com/view/product/1732351394676642402,The Aelfric Eden Unisex Ribbed Striped Boxy Cropped  is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Cody James Men's Men&#039;S Cayanne Wash Duke Relaxed Bootcut Stretch Denim - Cjfa25j09-Dkw,cody-james-men-s-men-039-s-cayanne-wash--1731483880055869670.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/c45b847c31a34020a0a41fd65266e738.png,70.0,1260.0,57.8,10.0,7.0,14.0,7,,https://shop.tiktok.com/view/product/1731483880055869670,Your future self will thank you for grabbing the Cody James Men's Men&#039;S Cayanne Wash Duke Re today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
FB County Rhinestone Tatted Up Sweatpant Casual Beach Pants Casual Loose Fit,fb-county-rhinestone-tatted-up-sweatpant-1732287472531312937.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast8-i-rt0ujvrtvp-tx2/bfdd5b9ee7c84775a247522674892ff0.png,69.0,2420.0,223.9,10.0,6.9,28.0,7,,https://shop.tiktok.com/view/product/1732287472531312937,"If you have been waiting on the FB County Rhinestone Tatted Up Sweatpant Casual , now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"COOFANDY Menswear 1-Button Sport Coat - Casual Blazer, Business Suit Jacket with Spandex Fabric, Sleeve Design for Pairing with Men's Jeans, Shirt, Long Sleeve",coofandy-menswear-1-button-sport-coat-ca-1732328702377693805.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5c9e3711ea994759996deb1711dcd4e0.png,69.0,1380.0,288.0,10.0,6.9,4.0,8,,https://shop.tiktok.com/view/product/1732328702377693805,Stop overthinking the COOFANDY Menswear 1-Button Sport Coat - Casual B and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
mnml Super Flare Denim,mnml-super-flare-denim-1731863541324419454.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e09772208a2a46d9a23f859cf43b825e.png,66.0,4090.0,43.4,12.0,7.92,53.0,8,,https://shop.tiktok.com/view/product/1731863541324419454,Stop overthinking the mnml Super Flare Denim and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
DICKIES Men's TJ15 Insulated Eisenhower Jacket Comfort Dickies Full Zipper Work Jackets Workwear Coat Cats (S to 5XL),dickies-men-s-tj15-insulated-eisenhower--1731829270236533402.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/686cf34fb7e74210b69341f739790eed.png,60.0,2820.0,50.6,10.0,6.0,16.0,10,,https://shop.tiktok.com/view/product/1731829270236533402,The DICKIES Men's TJ15 Insulated Eisenhower Jacket C is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Aelfric Eden Men's Cotton Loose Casual Fit Baggy Sweatpants - Plaid Patchwork, Double Drawstring Elastic Waist, Stripe Accents, Pockets, Trending Fashion Street",aelfric-eden-men-s-cotton-loose-casual-f-1729986987284861538.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/93d7e9776d8f4642a3990cc3daa3537b.png,49.0,4610.0,59.1,10.0,4.9,88.0,8,,https://shop.tiktok.com/view/product/1729986987284861538,"If you have been waiting on the Aelfric Eden Men's Cotton Loose Casual Fit Baggy, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Cove | Baggy Jeans,cove-baggy-jeans-1732546891621634956.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/c65e4893f1c849e99e65218d74c39bce.png,49.0,2600.0,59.8,18.0,8.82,24.0,10,,https://shop.tiktok.com/view/product/1732546891621634956,Consider this your reminder to grab the Cove you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Aelfric Eden Pleated Wide Leg Work Pants High Waist Button Front Tailored Trousers Relaxed Fit Office Outfits Business Casual Pants for Women,aelfric-eden-pleated-wide-leg-work-pants-1732238285078893154.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/addf8b97b0364b6aa73070009fd9021b.png,45.0,3060.0,39.3,11.0,4.95,83.0,8,,https://shop.tiktok.com/view/product/1732238285078893154,"If you have been waiting on the Aelfric Eden Pleated Wide Leg Work Pants High Wa, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Dickies | Short Sleeve Coveralls, Men's Sleeve Workwear,Lightweight Design,Worn Over Everyday Clothes, Elastic Waist Inserts, Wrinkle-resistant Fabric, Easy-car",dickies-short-sleeve-coveralls-men-s-sle-1732299303592563007.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/8e27660615e144b6bed6efb81834a10d.png,44.0,1720.0,61.9,11.0,4.84,35.0,8,,https://shop.tiktok.com/view/product/1732299303592563007,Your future self will thank you for grabbing the Dickies today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Dickies | TJ15 Insulated Eisenhower Jacket, Full Zip Work Jacket, Full Zip Work Jacket, Men's Workwear, Lightweight Warmth, Wrinkle-Resistant, Stain-Resistant, ",dickies-tj15-insulated-eisenhower-jacket-1729504375773041983.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/cfa670432ab84b5e8589e19e3df7096c.png,44.0,1280.0,42.5,14.0,6.16,49.0,7,,https://shop.tiktok.com/view/product/1729504375773041983,Adding the Dickies to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
